V01;V02;V03;V04;V05;V00;V114;V115;V116;V117;V118;V138;V139;V140;V141;V142;V143;V144;V145;V147;V148;V149;V150;V162;V163;V167;V168;V27
cod.linea;numero_especie;cod.esp;species;fuente.inicial;cod.cita;control de la erosion;simbiosis bacteria-micorrizas;mejora la compactacion del suelo;profundidad potencial de la raiz;tipo de raiz;alto de fuste potencial (altura comercial);densidad espec?fica del tallo;diametro altura de pecho maximo;espezor de la corteza;uso para carbon;forma de corteza;forma de fuste;fotosintesis en el tronco;madera de exportacion;madera de uso local;presencia de aletas en la base del tronco;tipo de secresiones/exudados del tronco;uso para lena;uso madera de construccion;uso madera muebles;uso madera postes;uso madera cajoneria
;54;e43;Astrocaryum murumuru;Bezerra, 2008;c20;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Cruz et al., 2017;c52;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Gutierrez-Vasquez & Peralta, 2001;c90;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Kahn & Millan, 2013;c99;NA;NA;;NA;NA;15;NA;"15;30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Paniagua-Zambrana, 2005;c135;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;si;NA;NA
;54;e43;Astrocaryum murumuru;Saldanha, 2012;c167;NA;NA;;NA;NA;"10;15";NA;"17;27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Tree Functional Attributes and Ecological Database;c203;NA;NA;;NA;NA;NA;"0.425;0.591";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;Ureta et al., 2014;c180;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;54;e43;Astrocaryum murumuru;UTP (Useful Tropical Plants), 2019;c183;NA;NA;;NA;NA;NA;NA;"10;30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Berg, 1978;c18;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Casallas-Pabon et al., 2017;c35;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Garcia & Araujo, 2019;c82;NA;NA;;NA;NA;NA;NA;NA;NA;NA;lenticelada;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;ICRAF Database - Tree Species;c203;NA;NA;;NA;NA;NA;0.49;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Perez O, 2021;c138;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Rodriguez & Cuellar, 2021;c157;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Santivanez & Cabrera, 2013;c169;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;56;e92;Cecropia engleriana;Vela, 2019;c190;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Cardenas, 2018;c32;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Cauper, 2019;c38;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Flores B, 2018;c78;NA;NA;;NA;NA;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;savia ;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Kreibich, 2002;c100;NA;bacterias;;NA;NA;NA;"0.33;0.52";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Lezama, 2018;c105;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Ministerio del Ambiente del Ecuador, 2013;c202;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;55;e443;Pterocarpus amazonum;Schongart et al., 2002;c170;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Campos Filho & Rodrigues Sartorelli, 2015;c28;NA;NA;;NA;NA;NA;0.55;NA;NA;si;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Canavides, 2001;c31;si;NA;;NA;NA;"20;27";0.6;"50;172";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA
;51;e444;Pterocarpus rohrii;CARVALHO, 2008b;c201;NA;bacterias;;NA;NA;15;NA;100;0.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;CIMA, 2021;c41;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Flores B, 2018;c78;NA;NA;;NA;NA;NA;NA;80;NA;NA;fisurada;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Pena, 2021;c136;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Reynel et al., 2003;c151;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;51;e444;Pterocarpus rohrii;Reynel et al., 2016;c152;NA;NA;;NA;NA;NA;NA;"40;90";NA;NA;lenticelada;cilindrico;NA;NA;NA;si;savia;NA;si;si;NA;NA
;51;e444;Pterocarpus rohrii;Roman et al., 2012;c162;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA
;51;e444;Pterocarpus rohrii;UTP (Useful Tropical Plants), 2019;c183;NA;bacterias;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;si;NA;NA;NA;NA;NA;NA;si
